Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",156.720000,-111.627535,0.000000,top
"C2","4,7u","C_0603_1608Metric",157.225000,-110.127535,0.000000,top
"C3","100n","C_0402_1005Metric",156.300000,-113.247535,90.000000,top
"C4","22u","C_0805_2012Metric",159.250000,-112.677535,90.000000,top
"C5","22u","C_0805_2012Metric",161.500000,-112.677535,90.000000,top
"C6","100n","C_0402_1005Metric",148.100000,-113.197535,90.000000,top
"C7","22u","C_0805_2012Metric",144.550000,-112.677535,90.000000,top
"C8","22u","C_0805_2012Metric",142.300000,-112.677535,90.000000,top
"C9","470n","C_0603_1608Metric",157.400000,-115.852535,90.000000,top
"C10","470n","C_0603_1608Metric",153.000000,-118.902535,-90.000000,top
"C11","680n","C_0805_2012Metric",160.550000,-134.000000,0.000000,top
"C12","680n","C_0805_2012Metric",153.500000,-129.277535,90.000000,top
"C13","470n","C_0603_1608Metric",147.000000,-115.852535,90.000000,top
"C14","470n","C_0603_1608Metric",151.400000,-118.902535,-90.000000,top
"C15","680n","C_0805_2012Metric",143.600000,-134.000000,180.000000,top
"C16","680n","C_0805_2012Metric",150.900000,-129.277535,90.000000,top
"C17","1u","C_0603_1608Metric",154.900000,-108.552535,90.000000,top
"C18","1u","C_0603_1608Metric",147.125000,-111.427535,180.000000,top
"C19","1u","C_0603_1608Metric",147.125000,-109.827535,180.000000,top
"C24","10u","C_1206_3216Metric",162.700000,-94.500000,90.000000,top
"C25","100n","C_0402_1005Metric",164.500000,-94.300000,90.000000,top
"C26","47u","C_1206_3216Metric",162.700000,-89.700000,-90.000000,top
"C27","47u","C_1206_3216Metric",160.200000,-89.700000,-90.000000,top
"C28","100n","C_0402_1005Metric",164.500000,-89.900000,-90.000000,top
"J1","~","PinSocket_2x20_P2.54mm_Vertical",69.670000,-107.780000,90.000000,top
"J3","2825272-2","2825272-2",60.000000,-56.000000,180.000000,top
"L1","10u","1274ASH100MP3",170.600000,-121.127535,-90.000000,top
"L2","10u","1274ASH100MP3",160.200000,-124.902535,-90.000000,top
"L3","10u","1274ASH100MP3",133.800000,-121.127535,-90.000000,top
"L4","10u","1274ASH100MP3",144.200000,-124.902535,-90.000000,top
"R1","10k","R_0402_1005Metric",130.910000,-114.000000,180.000000,top
"R2","10k","R_0402_1005Metric",135.200000,-111.790000,90.000000,top
"R3","10k","R_0402_1005Metric",133.400000,-113.510000,90.000000,top
"R4","0","R_0402_1005Metric",154.590000,-105.600000,180.000000,top
"R5","0","R_0402_1005Metric",133.990000,-106.100000,0.000000,top
"R6","0","R_0402_1005Metric",133.980000,-107.200000,0.000000,top
"R7","0","R_0402_1005Metric",133.990000,-108.300000,0.000000,top
"R8","10k","R_0402_1005Metric",131.100000,-105.890000,90.000000,top
"R9","10k","R_0402_1005Metric",127.600000,-105.390000,90.000000,top
"R10","10k","R_0402_1005Metric",152.900000,-105.790000,-90.000000,top
"U1","TAS5825MRHB","Texas_RHB0032E_VQFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias",152.200000,-113.327535,180.000000,top
"U2","IRM-60-24","Converter_ACDC_MeanWell_IRM-60-xx_THT",69.800000,-56.000000,0.000000,top
"U4","TPSM84205EAB","EAB0003A",168.900000,-92.100000,90.000000,top
